Product Type,Temperature (°C),Humidity (%),Shock Level (g),Risk Level
Meat,1.4,77.6,2.3,0
Fruits,12.4,78.4,3.99,1
Milk,6.6,74.1,1.91,0
Meat,7.7,92.8,4.95,1
Milk,8.4,65.5,3.97,1
Fruits,4.2,86.3,0.67,1
Fruits,6.6,70.6,2.24,0
Vegetables,2.4,94.7,4.13,1
Meat,2.6,73.7,4.5,1
Milk,3.7,75.9,3.48,1
Fruits,14.8,89.3,1.66,1
Eggs,7.0,59.2,4.73,1
Milk,4.1,65.8,0.73,0
Vegetables,9.2,92.8,3.79,1
Vegetables,10.1,96.1,0.88,1
Meat,1.1,72.8,0.2,0
Vegetables,8.7,93.1,4.52,1
Meat,0.3,75.7,2.11,0
Milk,5.9,74.7,3.5,1
Milk,8.2,62.8,4.26,1
Meat,5.5,74.4,4.88,1
Vegetables,3.0,97.0,1.71,1
Eggs,3.7,53.7,3.48,1
Vegetables,8.2,83.1,3.96,1
Eggs,7.7,59.1,3.76,1
Vegetables,8.5,95.1,2.07,1
Meat,0.8,83.3,3.85,1
Milk,8.0,67.6,1.06,1
Eggs,5.2,59.8,3.6,1
Meat,6.3,73.1,4.4,1
Vegetables,4.5,81.8,1.71,0
Vegetables,11.6,91.3,3.48,1
Fruits,10.6,82.4,2.57,1
Vegetables,5.4,90.8,1.68,1
Meat,2.4,91.5,1.6,1
Milk,4.1,63.3,3.89,1
Vegetables,11.2,95.5,0.91,1
Eggs,9.8,51.9,1.12,1
Meat,3.2,71.0,1.09,0
Fruits,9.7,71.6,2.39,1
Eggs,8.6,53.3,3.71,1
Vegetables,8.2,96.7,3.66,1
Meat,4.7,71.7,1.63,0
Milk,5.6,61.7,1.63,0
Milk,9.9,85.8,3.26,1
Meat,6.8,78.0,0.17,1
Meat,6.2,93.0,0.59,1
Vegetables,2.1,86.5,0.32,1
Eggs,5.3,63.5,2.01,0
Milk,10.0,78.2,4.74,1
Vegetables,9.3,93.4,4.29,1
Vegetables,4.5,96.9,0.89,1
Eggs,3.1,67.3,2.32,0
Fruits,12.3,71.2,0.8,1
Milk,4.8,62.0,4.14,1
Fruits,8.8,71.6,3.16,1
Eggs,8.8,65.4,3.85,1
Milk,5.1,62.8,4.51,1
Milk,6.7,86.5,1.57,1
Vegetables,6.3,93.9,4.05,1
Vegetables,7.8,82.6,1.15,0
Meat,2.9,88.3,2.62,1
Meat,0.7,83.9,1.93,0
Eggs,9.5,66.5,1.77,1
Meat,2.0,78.1,2.88,1
Vegetables,5.4,91.8,0.97,1
Fruits,5.6,80.3,0.39,0
Milk,5.1,67.5,4.53,1
Fruits,5.5,87.9,3.29,1
Eggs,4.1,57.7,2.8,1
Fruits,13.6,73.3,3.23,1
Fruits,4.7,77.9,1.38,0
Vegetables,11.1,86.3,0.09,1
Vegetables,3.9,84.6,0.09,0
Eggs,9.9,64.0,3.26,1
Fruits,8.0,87.1,4.95,1
Eggs,9.3,54.5,1.82,1
Fruits,11.2,85.6,4.68,1
Eggs,8.0,67.3,4.24,1
Eggs,9.9,53.5,1.23,1
Fruits,11.8,71.7,4.72,1
Eggs,6.2,50.4,3.99,1
Fruits,5.7,86.5,0.14,1
Vegetables,11.0,80.3,3.17,1
Fruits,10.4,87.3,2.35,1
Milk,5.9,63.6,0.13,0
Vegetables,9.6,88.6,4.14,1
Eggs,2.5,67.7,3.35,1
Milk,3.9,68.7,1.43,0
Fruits,9.7,81.0,0.49,1
Meat,0.5,94.7,0.86,1
Vegetables,3.0,84.9,2.75,1
Eggs,8.4,62.0,3.98,1
Milk,8.4,83.2,1.02,1
Milk,3.8,84.4,0.63,0
Fruits,8.8,70.3,2.83,1
Milk,3.4,66.5,4.26,1
Meat,7.5,79.3,3.59,1
Fruits,5.8,81.6,3.29,1
Fruits,11.9,87.4,1.56,1
Fruits,4.2,72.1,4.07,1
Vegetables,10.4,96.1,4.46,1
Meat,6.1,91.3,0.11,1
Vegetables,4.0,94.9,3.48,1
Fruits,9.6,77.6,3.05,1
Vegetables,2.5,97.3,4.72,1
Vegetables,6.5,89.2,4.96,1
Milk,3.8,77.9,4.65,1
Fruits,4.7,77.5,4.29,1
Vegetables,6.5,80.1,3.19,1
Eggs,3.2,60.2,2.74,1
Vegetables,5.9,96.7,2.8,1
Milk,4.1,67.9,3.53,1
Vegetables,5.9,86.9,2.39,1
Eggs,4.8,54.1,4.54,1
Vegetables,4.0,85.8,2.53,1
Milk,9.9,83.6,3.35,1
Fruits,7.7,87.8,4.98,1
Milk,6.1,69.7,0.11,0
Meat,7.2,70.9,3.1,1
Meat,0.5,86.2,3.34,1
Fruits,6.0,87.9,2.13,1
Meat,3.7,74.1,0.68,0
Eggs,9.1,55.7,2.55,1
Meat,2.9,78.5,3.45,1
Milk,6.4,68.6,1.51,0
Milk,6.4,67.3,4.77,1
Fruits,13.5,84.0,2.01,1
Eggs,3.6,50.8,4.93,1
Fruits,5.9,85.1,0.04,1
Vegetables,6.0,92.7,4.33,1
Meat,6.6,83.7,4.99,1
Vegetables,3.2,80.1,0.77,0
Vegetables,2.5,93.3,1.66,1
Fruits,6.8,78.8,4.35,1
Eggs,6.6,63.0,4.36,1
Meat,3.2,79.3,3.12,1
Vegetables,4.0,81.0,0.88,0
Vegetables,11.7,97.4,0.11,1
Milk,4.3,74.5,1.14,0
Eggs,7.1,61.5,0.17,1
Meat,2.7,87.3,1.5,1
Meat,7.7,90.5,2.71,1
Fruits,4.0,80.3,2.45,0
Eggs,6.6,60.3,4.4,1
Fruits,11.4,80.9,1.57,1
Eggs,7.0,57.8,3.4,1
Fruits,12.1,80.6,4.44,1
Vegetables,7.0,87.1,2.18,1
Meat,1.2,85.4,3.69,1
Vegetables,3.4,91.4,4.24,1
Meat,5.1,92.4,4.47,1
Eggs,7.5,62.9,2.61,1
Eggs,8.6,63.9,0.38,1
Vegetables,8.3,91.7,4.88,1
Milk,3.1,80.5,1.79,0
Milk,2.3,88.4,3.39,1
Meat,0.4,94.0,1.38,1
Meat,6.7,81.7,0.12,1
Eggs,3.4,64.4,1.58,0
Meat,2.3,74.1,3.6,1
Vegetables,5.5,80.2,2.9,1
Fruits,11.3,76.3,3.02,1
Eggs,9.2,67.5,1.33,1
Vegetables,8.3,94.5,4.38,1
Vegetables,8.3,81.6,3.76,1
Milk,4.4,60.8,2.52,1
Fruits,9.6,83.2,4.58,1
Vegetables,3.8,82.0,3.79,1
Meat,2.2,71.5,4.18,1
Eggs,9.7,63.4,2.57,1
Meat,3.1,76.5,1.97,0
Milk,4.4,82.4,2.87,1
Vegetables,5.0,90.9,0.41,1
Fruits,10.7,73.7,1.86,1
Milk,5.9,71.3,1.04,0
Vegetables,7.4,81.7,1.29,0
Meat,4.1,79.7,2.94,1
Meat,6.2,94.5,3.02,1
Fruits,9.6,89.2,1.18,1
Vegetables,4.0,83.8,1.37,0
Fruits,13.1,84.8,0.56,1
Eggs,7.1,56.8,0.41,1
Vegetables,11.0,83.9,3.77,1
Fruits,7.1,84.5,0.13,0
Fruits,5.0,89.1,2.67,1
Eggs,7.4,56.3,2.92,1
Fruits,5.2,83.9,0.67,0
Vegetables,3.6,90.2,4.48,1
Vegetables,5.1,95.1,4.74,1
Meat,7.5,92.1,2.1,1
Milk,8.0,70.3,4.97,1
Vegetables,7.9,97.6,1.26,1
Eggs,2.4,51.3,1.87,0
Milk,7.2,83.0,3.23,1
Meat,5.1,84.9,3.89,1
Eggs,5.3,54.5,3.05,1
Meat,6.7,80.4,1.54,1
Meat,3.9,85.4,4.83,1
Milk,3.8,89.2,2.38,1
Fruits,11.0,84.3,4.9,1
Meat,1.8,79.6,2.78,1
Eggs,7.0,58.2,0.73,0
Meat,7.3,85.6,0.36,1
Fruits,5.0,80.4,4.94,1
Eggs,3.9,55.0,2.3,0
Fruits,11.8,76.9,1.8,1
Vegetables,10.7,97.7,0.34,1
Fruits,5.6,77.9,0.03,0
Vegetables,11.1,87.1,1.38,1
Eggs,7.6,56.3,4.84,1
Milk,4.2,65.1,2.08,0
Vegetables,8.1,89.9,0.21,1
Vegetables,6.0,93.5,3.06,1
Meat,0.5,71.5,0.14,0
Fruits,9.8,78.5,3.36,1
Vegetables,2.5,82.7,4.4,1
Eggs,8.5,63.9,0.56,1
Eggs,5.5,62.6,3.96,1
Milk,3.8,64.5,3.71,1
Meat,4.3,70.7,2.16,0
Vegetables,2.0,90.2,4.74,1
Meat,1.2,77.3,4.6,1
Fruits,12.8,78.8,3.93,1
Fruits,12.2,75.8,1.78,1
Milk,9.7,75.3,0.91,1
Eggs,3.1,52.3,2.62,1
Vegetables,5.9,90.3,2.62,1
Milk,4.5,68.2,0.3,0
Vegetables,3.7,95.9,1.01,1
Eggs,9.6,57.1,0.91,1
Milk,9.7,66.2,3.06,1
Milk,7.2,85.0,1.78,1
Milk,7.1,63.1,3.82,1
Vegetables,2.7,89.9,1.74,1
Fruits,4.1,89.2,1.2,1
Vegetables,7.4,94.4,4.34,1
Vegetables,3.7,83.9,1.72,0
Vegetables,3.1,95.5,2.14,1
Milk,7.2,60.8,0.05,1
Fruits,4.9,89.3,4.86,1
Milk,2.1,74.9,3.2,1
Eggs,7.7,60.9,1.87,1
Milk,5.0,85.9,3.35,1
Milk,3.0,75.2,2.76,1
Fruits,5.5,81.6,3.14,1
Milk,4.3,84.2,3.05,1
Milk,9.6,77.7,3.07,1
Fruits,8.9,86.2,2.01,1
Meat,0.4,74.3,2.93,1
Meat,6.9,76.4,4.27,1
Fruits,11.0,83.9,2.7,1
Meat,8.0,89.4,3.46,1
Fruits,4.6,87.7,0.06,1
Fruits,6.8,77.7,1.96,0
Eggs,7.4,55.6,1.36,1
Eggs,8.1,55.5,0.1,1
Fruits,4.8,79.9,2.78,1
Vegetables,6.0,84.0,2.79,1
Fruits,13.9,71.7,1.43,1
Meat,4.6,85.8,4.63,1
Eggs,6.4,60.7,2.3,0
Meat,3.0,79.3,0.08,0
Meat,0.1,84.4,2.44,0
Eggs,6.9,58.9,4.23,1
Fruits,11.8,83.0,1.91,1
Eggs,8.7,65.7,4.47,1
Fruits,13.4,80.6,1.23,1
Fruits,9.6,80.0,4.27,1
Milk,3.6,66.2,3.36,1
Vegetables,4.9,94.8,2.44,1
Fruits,14.7,86.5,4.92,1
Meat,5.7,82.1,2.8,1
Eggs,2.5,55.9,1.05,0
Vegetables,2.0,91.6,0.72,1
Vegetables,6.3,93.0,4.78,1
Eggs,9.3,58.8,2.94,1
Milk,9.8,85.2,1.23,1
Milk,2.1,67.2,2.79,1
Fruits,5.3,89.4,2.8,1
Vegetables,6.8,86.6,1.87,1
Eggs,6.5,61.9,4.02,1
Vegetables,6.1,80.1,4.66,1
Milk,9.4,79.9,1.17,1
Milk,2.0,73.0,2.78,1
Vegetables,9.2,96.1,3.9,1
Eggs,8.6,60.8,4.06,1
Vegetables,2.7,86.4,1.19,1
Milk,9.8,81.6,2.28,1
Meat,6.9,85.7,1.45,1
Meat,1.8,82.0,3.58,1
Vegetables,9.5,88.0,3.26,1
Milk,2.2,80.3,1.08,0
Milk,4.7,82.8,1.91,0
Vegetables,3.5,92.7,3.62,1
Meat,0.6,78.2,2.73,1
Fruits,8.6,88.5,2.37,1
Milk,9.4,74.1,2.04,1
Vegetables,9.4,84.2,2.87,1
Meat,7.4,93.6,3.01,1
Vegetables,10.1,85.4,2.73,1
Eggs,3.0,62.2,3.99,1
Eggs,3.6,69.5,1.96,0
Milk,5.6,68.4,0.12,0
Milk,7.1,79.8,3.69,1
Meat,5.3,77.0,2.05,0
Eggs,3.1,63.3,0.94,0
Fruits,5.7,87.0,3.42,1
Vegetables,9.3,91.0,4.53,1
Fruits,4.8,80.8,1.53,0
Fruits,7.2,79.4,3.5,1
Milk,4.7,88.3,0.87,1
Vegetables,9.2,85.7,2.42,1
Fruits,11.1,82.6,0.58,1
Fruits,11.8,85.9,4.29,1
Meat,7.9,94.8,1.88,1
Vegetables,8.8,95.6,0.3,1
Milk,8.2,86.8,1.0,1
Fruits,4.3,75.3,4.58,1
Meat,0.9,75.8,4.56,1
Fruits,5.8,77.2,3.43,1
Vegetables,4.0,95.2,0.27,1
Meat,0.3,77.4,2.69,1
Vegetables,5.0,86.2,2.31,1
Fruits,7.1,86.3,1.4,1
Fruits,5.6,76.1,4.96,1
Meat,1.6,91.9,4.49,1
Vegetables,7.9,81.7,1.5,0
Eggs,6.4,50.8,2.47,0
Milk,5.1,79.4,4.19,1
Meat,3.0,73.9,4.65,1
Vegetables,7.3,89.0,3.76,1
Fruits,6.2,72.6,0.36,0
Fruits,7.0,79.3,1.38,0
Vegetables,2.2,80.6,3.74,1
Eggs,4.4,52.4,2.05,0
Milk,7.9,78.6,1.53,1
Vegetables,2.3,82.9,1.69,0
Eggs,9.8,53.5,0.22,1
Vegetables,11.9,93.5,4.71,1
Vegetables,2.8,85.1,3.84,1
Fruits,13.5,89.4,0.17,1
Meat,0.2,73.6,1.48,0
Vegetables,5.5,94.3,4.87,1
Fruits,10.6,84.2,3.45,1
Vegetables,7.9,94.1,0.28,1
Meat,4.7,73.6,3.7,1
Eggs,5.9,61.0,0.32,0
Vegetables,9.7,97.9,3.07,1
Vegetables,10.6,96.8,0.28,1
Milk,2.8,75.6,1.6,0
Meat,2.0,92.0,4.73,1
Fruits,8.8,85.0,0.75,0
Vegetables,8.1,92.8,0.32,1
Fruits,8.7,70.6,1.76,0
Vegetables,2.7,97.2,1.34,1
Meat,1.5,81.5,3.85,1
Eggs,8.6,65.3,2.8,1
Eggs,7.2,57.9,4.87,1
Eggs,9.7,56.8,4.57,1
Meat,3.9,85.4,0.95,1
Meat,3.9,92.3,3.53,1
Eggs,5.6,63.9,1.19,0
Meat,0.5,94.4,2.68,1
Fruits,12.7,80.9,3.75,1
Meat,3.8,83.9,4.04,1
Fruits,9.7,80.6,2.72,1
Vegetables,5.2,94.2,3.76,1
Fruits,5.2,75.3,2.19,0
Meat,4.0,72.5,1.07,0
Vegetables,6.7,90.9,2.55,1
Fruits,9.1,82.7,4.56,1
Vegetables,7.1,81.6,0.82,0
Meat,2.6,91.0,3.66,1
Fruits,9.7,89.2,2.4,1
Meat,4.0,71.9,4.36,1
Meat,2.3,94.9,0.82,1
Eggs,4.6,57.0,3.11,1
Fruits,5.6,88.3,4.05,1
Fruits,14.5,79.5,1.8,1
Meat,4.8,74.0,4.41,1
Milk,10.0,69.0,3.65,1
Fruits,5.0,80.9,2.74,1
Vegetables,8.2,91.2,0.54,1
Meat,7.8,81.8,1.31,1
Meat,4.8,91.7,4.03,1
Meat,0.9,71.4,0.33,0
Milk,4.9,88.2,3.76,1
Meat,4.1,90.5,3.51,1
Eggs,2.4,51.5,3.45,1
Fruits,11.7,73.4,0.54,1
Eggs,5.2,51.6,1.09,0
Fruits,4.1,77.4,3.65,1
Eggs,6.2,60.9,4.02,1
Fruits,14.2,71.1,0.27,1
Vegetables,9.1,91.0,0.98,1
Milk,3.9,73.2,0.94,0
Eggs,7.0,67.6,2.63,1
Eggs,9.9,68.4,1.14,1
Milk,2.1,71.2,0.84,0
Fruits,13.7,70.2,4.15,1
Eggs,5.3,68.6,3.17,1
Milk,3.8,89.3,4.7,1
Milk,8.1,79.1,0.87,1
Vegetables,4.1,88.0,1.54,1
Milk,2.3,72.9,2.62,1
Fruits,8.1,78.3,2.93,1
Milk,8.7,74.3,4.54,1
Milk,3.7,88.6,4.25,1
Milk,8.1,72.6,3.18,1
Meat,0.0,71.0,4.45,1
Milk,6.8,63.7,0.43,0
Fruits,8.7,74.9,0.48,0
Fruits,4.6,71.7,1.13,0
Milk,8.9,83.1,1.44,1
Eggs,2.0,50.4,3.74,1
Eggs,5.9,62.8,2.2,0
Fruits,5.7,74.4,0.19,0
Fruits,13.7,76.1,3.44,1
Milk,6.3,60.3,1.11,0
Meat,4.2,90.8,2.81,1
Milk,6.3,66.9,4.13,1
Fruits,8.0,81.0,4.21,1
Fruits,10.5,75.4,0.22,1
Milk,2.5,75.4,4.0,1
Milk,7.5,80.6,0.49,1
Fruits,4.4,80.4,3.29,1
Meat,6.5,72.6,0.17,1
Vegetables,3.4,97.0,2.57,1
Meat,1.8,86.7,4.57,1
Meat,1.5,94.4,1.59,1
Fruits,6.2,73.4,1.82,0
Fruits,10.8,89.6,3.66,1
Meat,7.4,85.5,2.49,1
Vegetables,5.8,96.8,4.43,1
Vegetables,10.2,83.2,0.51,1
Eggs,5.3,68.9,3.28,1
Fruits,10.9,79.4,2.2,1
Milk,7.6,79.8,2.03,1
Eggs,7.8,62.0,0.72,1
Vegetables,8.8,89.2,4.67,1
Fruits,13.1,85.1,1.94,1
Milk,8.6,79.0,2.96,1
Fruits,9.4,75.0,0.57,1
Meat,0.8,83.5,0.74,0
Eggs,8.9,54.8,2.96,1
Milk,6.6,75.3,3.07,1
Fruits,13.4,72.4,4.74,1
Milk,7.4,76.2,0.93,1
Meat,4.3,77.0,3.84,1
Meat,7.3,93.4,2.38,1
Fruits,9.8,89.8,0.52,1
Meat,2.2,79.4,1.36,0
Vegetables,8.0,83.5,4.0,1
Eggs,4.3,67.7,4.54,1
Vegetables,2.5,95.4,4.99,1
Fruits,8.3,71.7,2.51,1
Fruits,13.9,84.0,0.03,1
Milk,9.3,60.3,2.43,1
Meat,4.4,77.3,0.33,0
Vegetables,6.9,82.8,4.59,1
Milk,8.7,60.5,3.7,1
Meat,3.9,84.9,1.86,0
Eggs,2.8,54.3,0.05,0
Eggs,3.5,63.2,1.95,0
Vegetables,3.9,93.0,0.22,1
Meat,7.2,76.0,3.63,1
Vegetables,8.2,86.8,4.64,1
Fruits,9.2,78.6,2.67,1
Meat,7.2,74.9,2.9,1
Vegetables,3.7,81.1,4.33,1
Eggs,3.6,54.1,1.24,0
Eggs,8.4,58.9,1.29,1
Milk,3.0,66.7,4.57,1
Eggs,5.4,59.0,4.73,1
Fruits,14.2,86.8,1.71,1
Eggs,5.0,67.8,2.99,1
Vegetables,10.5,81.0,1.17,1
Eggs,8.4,64.3,1.58,1
Vegetables,3.1,89.0,0.0,1
Vegetables,5.9,85.3,4.11,1
Milk,2.8,84.3,1.07,0
Fruits,4.7,85.6,4.3,1
Fruits,4.7,70.1,4.16,1
Eggs,7.9,55.4,1.04,1
Fruits,10.6,77.4,0.75,1
Milk,9.4,84.9,2.27,1
Vegetables,9.1,82.4,0.68,1
Vegetables,6.6,88.9,1.6,1
Milk,5.9,82.9,2.61,1
Fruits,12.8,74.6,0.68,1
Milk,3.7,86.3,2.32,1
Meat,7.8,91.6,4.65,1
Meat,0.1,76.4,3.92,1
Eggs,7.8,56.2,2.34,1
Eggs,7.4,52.5,4.97,1
Eggs,6.1,68.7,2.36,0
Fruits,12.9,87.5,0.64,1
Eggs,3.0,57.9,2.93,1
Meat,5.8,86.0,4.75,1
Milk,3.3,83.9,0.84,0
Milk,7.1,61.2,3.8,1
Fruits,9.3,89.5,1.67,1
Fruits,9.7,76.2,3.3,1
Milk,7.7,86.4,1.06,1
Eggs,6.5,56.5,3.22,1
Fruits,11.6,82.5,3.68,1
Eggs,6.3,59.7,0.14,0
Milk,5.8,74.2,3.17,1
Eggs,4.3,60.9,1.41,0
Vegetables,8.2,85.0,0.54,1
Eggs,2.1,53.3,0.71,0
Milk,8.0,66.6,2.97,1
Meat,0.5,82.0,4.89,1
Meat,7.3,83.4,1.78,1
Milk,5.6,87.2,1.47,1
Meat,1.9,77.8,1.32,0
Fruits,8.3,77.9,4.08,1
Meat,2.6,71.2,1.71,0
Vegetables,2.5,90.4,3.14,1
Milk,7.0,90.0,4.64,1
Meat,7.1,81.6,3.78,1
Eggs,6.9,61.9,2.35,0
Fruits,7.1,79.9,2.23,0
Vegetables,3.2,82.8,0.17,0
Eggs,9.1,51.9,1.27,1
Milk,6.2,74.3,4.33,1
Meat,3.1,71.7,3.85,1
Milk,4.2,63.2,2.07,0
Meat,3.4,77.9,3.35,1
Fruits,8.1,86.4,2.39,1
Eggs,5.5,50.7,2.75,1
Eggs,4.3,57.8,4.33,1
Milk,2.2,83.2,0.97,0
Milk,9.3,66.0,4.64,1
Vegetables,3.9,95.7,0.88,1
Fruits,12.7,89.6,4.9,1
Milk,2.1,71.7,3.89,1
Meat,4.8,80.9,2.65,1
Vegetables,11.7,88.6,3.93,1
Meat,4.4,86.3,3.27,1
Vegetables,3.1,94.8,0.54,1
Meat,1.2,71.1,4.6,1
Meat,4.0,88.5,3.77,1
Milk,2.6,65.9,2.12,0
Meat,1.5,73.9,1.53,0
Eggs,5.2,68.4,1.95,0
Vegetables,3.6,91.5,3.61,1
Meat,7.9,78.9,1.33,1
Fruits,12.1,80.7,1.36,1
Milk,7.9,79.1,4.44,1
Milk,3.6,84.4,4.75,1
Vegetables,10.0,80.7,2.78,1
Meat,6.4,83.2,2.91,1
Meat,7.6,72.2,3.52,1
Milk,4.8,65.7,4.98,1
Milk,3.6,72.0,0.07,0
Meat,5.1,74.6,3.68,1
Fruits,5.4,82.5,3.71,1
Milk,5.0,79.0,4.55,1
Vegetables,7.3,86.8,1.73,1
Fruits,7.2,73.5,2.41,0
Milk,9.8,69.6,4.63,1
Vegetables,7.8,84.4,2.81,1
Meat,6.6,83.7,2.46,1
Fruits,5.0,80.7,2.54,1
Fruits,7.3,74.8,0.09,0
Eggs,8.3,63.7,0.18,1
Eggs,4.3,55.6,2.4,0
Milk,2.6,84.4,0.94,0
Fruits,8.2,83.0,0.7,0
Eggs,9.6,58.5,1.65,1
Meat,6.2,86.5,1.57,1
Milk,8.4,68.7,1.25,1
Meat,2.9,90.4,0.35,1
Meat,5.3,90.7,0.92,1
Meat,3.3,80.0,2.82,1
Meat,5.1,83.5,1.57,0
Meat,1.4,85.9,3.39,1
Meat,4.4,82.5,4.18,1
Milk,2.1,78.6,3.46,1
Vegetables,2.7,86.5,4.96,1
Vegetables,9.4,89.2,3.61,1
Eggs,7.0,65.2,3.22,1
Vegetables,4.0,86.9,4.03,1
Vegetables,8.4,97.1,0.74,1
Vegetables,8.4,90.2,3.02,1
Vegetables,7.9,85.6,0.72,1
Eggs,4.0,64.5,2.3,0
Eggs,6.4,62.1,4.69,1
Fruits,12.0,73.7,4.92,1
Vegetables,8.5,92.6,1.96,1
Fruits,8.6,79.2,4.44,1
Meat,3.7,78.6,0.91,0
Fruits,8.7,74.3,0.63,0
Fruits,13.1,73.2,1.78,1
Milk,5.8,64.7,0.57,0
Meat,7.2,85.1,4.62,1
Eggs,3.9,66.4,4.79,1
Fruits,15.0,76.7,0.78,1
Eggs,2.4,60.2,0.29,0
Meat,5.3,81.4,1.51,0
Meat,3.8,91.8,2.86,1
Eggs,10.0,61.4,3.19,1
Milk,2.5,60.7,2.91,1
Meat,2.4,92.6,2.02,1
Meat,4.6,93.6,4.86,1
Meat,7.2,80.0,4.24,1
Vegetables,9.5,80.7,4.58,1
Milk,2.8,70.3,3.24,1
Milk,9.6,87.8,4.95,1
Eggs,8.5,51.9,2.55,1
Vegetables,7.0,87.5,0.24,1
Vegetables,8.6,90.3,2.31,1
Fruits,10.0,75.4,3.47,1
Fruits,10.0,70.5,2.79,1
Vegetables,8.8,89.4,2.35,1
Meat,5.3,91.2,1.12,1
Fruits,13.2,70.7,2.98,1
Fruits,8.3,75.2,0.03,0
Meat,3.8,89.2,1.04,1
Fruits,13.3,74.8,4.69,1
Vegetables,10.1,87.0,2.65,1
Meat,0.8,88.2,2.04,1
Eggs,9.2,60.1,4.47,1
Milk,8.0,62.0,1.59,1
Milk,7.5,80.3,2.05,1
Meat,7.3,71.7,0.69,1
Vegetables,3.2,81.7,3.45,1
Vegetables,10.8,92.0,0.08,1
Fruits,11.9,75.4,1.05,1
Fruits,11.6,70.3,3.42,1
Vegetables,5.7,91.4,0.43,1
Milk,7.1,84.9,0.58,1
Eggs,9.2,61.8,2.27,1
Fruits,8.5,76.4,4.61,1
Meat,6.3,78.4,4.14,1
Eggs,2.4,58.4,3.73,1
Meat,5.4,81.9,4.93,1
Eggs,9.7,63.6,2.06,1
Milk,3.0,87.1,0.49,1
Eggs,2.8,63.8,3.78,1
Meat,3.4,77.8,2.77,1
Meat,2.4,70.0,4.5,1
Fruits,11.8,82.2,3.03,1
Fruits,4.0,78.9,1.32,0
Vegetables,8.3,80.2,3.86,1
Meat,4.3,85.9,1.59,1
Milk,5.9,64.6,1.24,0
Milk,4.0,64.2,2.77,1
Fruits,12.9,74.9,2.18,1
Milk,9.8,82.7,3.53,1
Vegetables,10.5,91.1,2.66,1
Fruits,10.0,87.2,1.04,1
Milk,9.3,62.6,4.39,1
Eggs,3.2,62.4,3.71,1
Fruits,11.2,78.4,0.36,1
Vegetables,3.9,87.6,3.93,1
Fruits,4.1,82.9,2.35,0
Milk,5.0,65.7,0.09,0
Fruits,13.8,70.3,0.69,1
Milk,7.3,74.2,4.89,1
Fruits,5.7,82.9,1.45,0
Vegetables,4.6,92.0,4.96,1
Meat,7.9,89.5,1.76,1
Fruits,7.7,75.2,0.49,0
Fruits,11.4,78.4,3.49,1
Meat,7.0,78.4,3.02,1
Vegetables,3.8,86.9,3.54,1
Fruits,11.0,74.1,1.57,1
Milk,4.1,74.9,2.66,1
Eggs,7.8,56.3,3.71,1
Eggs,3.6,50.8,1.77,0
Vegetables,3.6,80.3,1.87,0
Milk,2.8,85.9,2.07,1
Milk,6.5,85.2,1.53,1
Vegetables,8.9,96.4,4.91,1
Eggs,4.7,55.7,4.96,1
Fruits,6.3,72.2,1.45,0
Meat,3.3,90.1,0.3,1
Meat,2.0,73.9,1.47,0
Eggs,7.2,55.8,3.0,1
Milk,6.1,75.0,2.68,1
Eggs,2.6,66.1,2.01,0
Eggs,7.6,52.1,1.41,1
Vegetables,11.9,87.4,2.87,1
Milk,8.5,64.7,3.3,1
Milk,7.3,80.5,1.72,1
Vegetables,9.1,86.2,4.06,1
Fruits,7.5,79.5,0.99,0
Meat,0.5,73.9,0.12,0
Milk,6.6,69.3,1.38,0
Eggs,7.5,67.3,1.78,1
Meat,6.9,93.0,4.93,1
Milk,7.3,67.0,2.47,1
Vegetables,8.9,86.2,4.47,1
Fruits,5.4,81.6,4.85,1
Meat,2.7,70.7,4.99,1
Vegetables,2.5,97.0,4.78,1
Fruits,11.1,71.8,0.99,1
Vegetables,9.0,93.8,2.56,1
Meat,1.0,88.6,3.39,1
Milk,4.8,88.3,0.58,1
Eggs,2.9,65.7,0.08,0
Fruits,12.6,80.5,0.99,1
Eggs,8.1,65.0,0.46,1
Eggs,5.4,65.5,3.72,1
Meat,7.8,72.7,4.27,1
Fruits,4.7,74.4,4.4,1
Fruits,9.3,80.4,2.33,1
Eggs,7.0,57.5,0.88,0
Meat,3.4,88.7,4.15,1
Fruits,4.5,88.1,3.13,1
Eggs,7.3,58.8,0.7,1
Eggs,9.7,61.3,3.93,1
Milk,6.9,67.5,1.95,0
Eggs,8.4,66.8,2.55,1
Eggs,4.9,66.4,3.95,1
Meat,0.7,90.4,3.49,1
Vegetables,8.3,92.5,3.52,1
Milk,2.1,84.9,0.64,0
Vegetables,4.7,89.6,2.77,1
Milk,5.6,84.2,4.99,1
Milk,4.1,65.2,3.78,1
Meat,1.4,80.0,1.42,0
Fruits,4.4,80.7,2.44,0
Eggs,9.4,62.3,4.69,1
Fruits,4.2,77.0,4.95,1
Fruits,9.3,87.1,4.55,1
Meat,4.2,71.3,2.4,0
Meat,0.8,76.4,2.82,1
Meat,7.7,73.2,4.14,1
Eggs,4.8,51.0,2.74,1
Meat,6.2,94.8,4.6,1
Fruits,7.1,75.1,1.83,0
Meat,7.7,86.8,1.08,1
Eggs,8.0,55.9,2.31,1
Milk,4.7,84.1,1.11,0
Fruits,7.6,75.8,4.24,1
Eggs,4.8,51.6,3.61,1
Meat,7.0,83.8,0.19,1
Meat,4.2,71.2,0.18,0
